Number of Data Points,Classifier Name,Model Accuracy
57,<function naiveBayes at 0x7f536612a3a0>,77.78
57,<function logisticRegression at 0x7f536612a430>,22.22
57,<function decisionTree at 0x7f536612a4c0>,77.78
57,<function randomForest at 0x7f536612a550>,55.56
58,<function naiveBayes at 0x7f536612a3a0>,33.33
58,<function logisticRegression at 0x7f536612a430>,55.56
58,<function decisionTree at 0x7f536612a4c0>,55.56
58,<function randomForest at 0x7f536612a550>,44.44
59,<function naiveBayes at 0x7f536612a3a0>,66.67
59,<function logisticRegression at 0x7f536612a430>,44.44
59,<function decisionTree at 0x7f536612a4c0>,66.67
59,<function randomForest at 0x7f536612a550>,55.56
60,<function naiveBayes at 0x7f536612a3a0>,44.44
60,<function logisticRegression at 0x7f536612a430>,22.22
60,<function decisionTree at 0x7f536612a4c0>,55.56
60,<function randomForest at 0x7f536612a550>,66.67
61,<function naiveBayes at 0x7f536612a3a0>,40.0
61,<function logisticRegression at 0x7f536612a430>,60.0
61,<function decisionTree at 0x7f536612a4c0>,40.0
61,<function randomForest at 0x7f536612a550>,70.0
62,<function naiveBayes at 0x7f536612a3a0>,40.0
62,<function logisticRegression at 0x7f536612a430>,70.0
62,<function decisionTree at 0x7f536612a4c0>,70.0
62,<function randomForest at 0x7f536612a550>,50.0
63,<function naiveBayes at 0x7f536612a3a0>,50.0
63,<function logisticRegression at 0x7f536612a430>,30.0
63,<function decisionTree at 0x7f536612a4c0>,70.0
63,<function randomForest at 0x7f536612a550>,50.0
64,<function naiveBayes at 0x7f536612a3a0>,70.0
64,<function logisticRegression at 0x7f536612a430>,40.0
64,<function decisionTree at 0x7f536612a4c0>,60.0
64,<function randomForest at 0x7f536612a550>,40.0
65,<function naiveBayes at 0x7f536612a3a0>,50.0
65,<function logisticRegression at 0x7f536612a430>,50.0
65,<function decisionTree at 0x7f536612a4c0>,70.0
65,<function randomForest at 0x7f536612a550>,50.0
66,<function naiveBayes at 0x7f536612a3a0>,80.0
66,<function logisticRegression at 0x7f536612a430>,50.0
66,<function decisionTree at 0x7f536612a4c0>,40.0
66,<function randomForest at 0x7f536612a550>,50.0
67,<function naiveBayes at 0x7f536612a3a0>,54.55
67,<function logisticRegression at 0x7f536612a430>,72.73
67,<function decisionTree at 0x7f536612a4c0>,45.45
67,<function randomForest at 0x7f536612a550>,45.45
68,<function naiveBayes at 0x7f536612a3a0>,72.73
68,<function logisticRegression at 0x7f536612a430>,45.45
68,<function decisionTree at 0x7f536612a4c0>,72.73
68,<function randomForest at 0x7f536612a550>,27.27
69,<function naiveBayes at 0x7f536612a3a0>,63.64
69,<function logisticRegression at 0x7f536612a430>,63.64
69,<function decisionTree at 0x7f536612a4c0>,45.45
69,<function randomForest at 0x7f536612a550>,45.45
70,<function naiveBayes at 0x7f536612a3a0>,45.45
70,<function logisticRegression at 0x7f536612a430>,54.55
70,<function decisionTree at 0x7f536612a4c0>,36.36
70,<function randomForest at 0x7f536612a550>,36.36
71,<function naiveBayes at 0x7f536612a3a0>,18.18
71,<function logisticRegression at 0x7f536612a430>,27.27
71,<function decisionTree at 0x7f536612a4c0>,54.55
71,<function randomForest at 0x7f536612a550>,36.36
72,<function naiveBayes at 0x7f536612a3a0>,54.55
72,<function logisticRegression at 0x7f536612a430>,81.82
72,<function decisionTree at 0x7f536612a4c0>,36.36
72,<function randomForest at 0x7f536612a550>,36.36
73,<function naiveBayes at 0x7f536612a3a0>,36.36
73,<function logisticRegression at 0x7f536612a430>,54.55
73,<function decisionTree at 0x7f536612a4c0>,36.36
73,<function randomForest at 0x7f536612a550>,63.64
74,<function naiveBayes at 0x7f536612a3a0>,50.0
74,<function logisticRegression at 0x7f536612a430>,58.33
74,<function decisionTree at 0x7f536612a4c0>,58.33
74,<function randomForest at 0x7f536612a550>,33.33
75,<function naiveBayes at 0x7f536612a3a0>,41.67
75,<function logisticRegression at 0x7f536612a430>,41.67
