Training Days,Prediction,Actual,Accurate
4585.57,Fell,Fell,1
4344.098317,Rose,Rose,1
4488.72014,Fell,Fell,1
4385.02,Rose,Rose,1
4654.6585,Fell,Fell,1
4310.750183,Rose,Rose,1
4312.26,Fell,Rose,0
4329.955,Fell,Fell,1
4248.090017,Rose,Fell,0
4198.59,Rose,Fell,0
3961.271267,Rose,Fell,0
3319.63,Rose,Fell,0
3216.43,Rose,Rose,1
3763.62604,Fell,Fell,1
3746.060783,Rose,Fell,0
3678.53,Rose,Rose,1
3943.413333,Fell,Rose,0
3977.561667,Fell,Fell,1
3894.48,Rose,Fell,0
3637.50255,Rose,Rose,1
3776.3869,Fell,Rose,0
3777.62,Fell,Rose,0
3942.555,Fell,Fell,1
3910.307383,Rose,Fell,0
3881.0,Rose,Rose,1
4201.98905,Fell,Fell,1
4193.574667,Rose,Fell,0
4164.27,Rose,Rose,1
4360.722967,Fell,Rose,0
4386.88375,Fell,Rose,0
4394.07,Fell,Fell,1
4225.175,Rose,Rose,1
4338.852,Fell,Fell,1
4318.58,Rose,Rose,1
4376.191667,Fell,Rose,0
4602.280883,Fell,Rose,0
4605.66,Fell,Rose,0
4782.28,Fell,Rose,0
4819.485767,Fell,Rose,0
4822.17,Fell,Rose,0
5563.806567,Fell,Rose,0
5739.438733,Fell,Rose,0
5825.99,Fell,Fell,1
5711.205867,Rose,Fell,0
5603.71294,Rose,Fell,0
5594.66,Rose,Rose,1
5727.6335,Fell,Rose,0
5979.45984,Fell,Rose,0
5986.44,Fell,Fell,1
5983.18455,Rose,Fell,0
5876.079867,Rose,Rose,1
5900.59,Fell,Fell,1
5669.622533,Rose,Rose,1
5893.138417,Fell,Fell,1
5889.82,Rose,Fell,0
5776.69695,Rose,Rose,1
6155.43402,Fell,Fell,1
6136.49,Rose,Rose,1
6388.645167,Fell,Rose,0
6665.306683,Fell,Rose,0
6751.98,Fell,Rose,0
7197.72006,Fell,Rose,0
7437.543317,Fell,Fell,1
7365.99,Rose,Fell,0
6989.071667,Rose,Rose,1
7092.127233,Fell,Rose,0
7128.64,Fell,Rose,0
7158.03706,Fell,Fell,1
6719.39785,Rose,Fell,0
6569.22,Rose,Fell,0
5716.301583,Rose,Rose,1
6550.227533,Fell,Fell,1
6493.63,Rose,Rose,1
7301.42992,Fell,Rose,0
7815.0307,Fell,Rose,0
7868.77,Fell,Fell,1
7817.140383,Rose,Rose,1
8007.654067,Fell,Rose,0
8049.72,Fell,Rose,0
8059.8,Fell,Rose,0
8268.035,Fell,Fell,1
8236.72,Rose,Rose,1
8250.978333,Fell,Rose,0
8707.407267,Fell,Rose,0
8768.8,Fell,Rose,0
9718.29505,Fell,Rose,0
9952.50882,Fell,Fell,1
9919.0,Rose,Rose,1
10147.372,Fell,Rose,0
10883.912,Fell,Fell,1
10879.88,Rose,Rose,1
11332.622,Fell,Rose,0
11584.83,Fell,Rose,0
11591.22,Fell,Rose,0
13540.98,Fell,Rose,0
16501.97167,Fell,Rose,0
16860.88,Fell,Fell,1
15142.83415,Rose,Fell,0
14869.805,Rose,Rose,1
15068.95,Fell,Rose,0
17276.39333,Fell,Fell,1
16808.36667,Rose,Fell,0
16252.31,Rose,Rose,1
17771.9,Fell,Rose,0
19498.68333,Fell,Fell,1
19279.9,Rose,Fell,0
18961.85667,Rose,Fell,0
17737.11167,Rose,Fell,0
17382.94,Rose,Fell,0
16047.51,Rose,Fell,0
15190.945,Rose,Fell,0
13776.61,Rose,Rose,1
13949.175,Fell,Rose,0
14119.02833,Fell,Fell,1
13740.94,Rose,Rose,1
15589.32167,Fell,Fell,1
14380.58167,Rose,Fell,0
14214.01,Rose,Fell,0
13215.574,Rose,Rose,1
14165.575,Fell,Fell,1
13796.0,Rose,Rose,1
15005.85667,Fell,Rose,0
15053.26167,Fell,Fell,1
15039.24,Rose,Rose,1
17174.12,Fell,Rose,0
17319.198,Fell,Fell,1
17155.95,Rose,Fell,0
15265.90667,Rose,Fell,0
14714.25333,Rose,Fell,0
14437.42,Rose,Fell,0
13296.794,Rose,Rose,1
13912.882,Fell,Fell,1
13791.19,Rose,Rose,1
13852.92,Fell,Rose,0
14012.196,Fell,Fell,1
13554.14,Rose,Fell,0
11116.94667,Rose,Rose,1
11345.42333,Fell,Fell,1
11174.82,Rose,Rose,1
12950.79333,Fell,Fell,1
11505.228,Rose,Rose,1
11513.42,Fell,Fell,1
11223.064,Rose,Rose,1
11282.25833,Fell,Rose,0
11392.03,Fell,Fell,1
10969.815,Rose,Rose,1
11524.77667,Fell,Fell,1
11431.37,Rose,Fell,0
11212.655,Rose,Fell,0
10184.06167,Rose,Fell,0
10082.52,Rose,Fell,0
9083.258333,Rose,Fell,0
8901.901667,Rose,Fell,0
8852.73,Rose,Fell,0
8400.648333,Rose,Fell,0
6838.816667,Rose,Rose,1
6925.46,Fell,Rose,0
8099.958333,Fell,Rose,0
8240.536667,Fell,Rose,0
8245.08,Fell,Rose,0
8319.876566,Fell,Rose,0
8343.455,Fell,Fell,1
8068.02,Rose,Rose,1
8597.7675,Fell,Rose,0
9334.633333,Fell,Rose,0
9471.64,Fell,Rose,0
10127.16167,Fell,Rose,0
10841.99167,Fell,Rose,0
11085.83,Fell,Rose,0
11110.965,Fell,Rose,0
11390.39167,Fell,Fell,1
11245.98,Rose,Fell,0
9931.071667,Rose,Rose,1
10162.11667,Fell,Rose,0
10171.3,Fell,Fell,1
9696.593333,Rose,Rose,1
10348.60333,Fell,Fell,1
10319.46,Rose,Rose,1
10370.165,Fell,Rose,0
11009.38167,Fell,Fell,1
10931.12,Rose,Rose,1
11326.94833,Fell,Rose,0
11430.18167,Fell,Rose,0
11516.83,Fell,Fell,1
10763.19833,Rose,Fell,0
10118.058,Rose,Fell,0
9920.46,Rose,Fell,0
9089.278333,Rose,Fell,0
8746.002,Rose,Rose,1
8777.37,Fell,Rose,0
9182.843333,Fell,Fell,1
9154.7,Rose,Fell,0
9153.54,Rose,Fell,0
8358.121667,Rose,Rose,1
8530.402,Fell,Fell,1
8297.89,Rose,Fell,0
8171.415,Rose,Rose,1
8412.033333,Fell,Rose,0
8605.64,Fell,Rose,0
8947.753333,Fell,Fell,1
8690.408333,Rose,Rose,1
8725.37,Fell,Fell,1
8662.378333,Rose,Fell,0
8617.296667,Rose,Fell,0
8457.96,Rose,Fell,0
7876.195,Rose,Rose,1
7960.38,Fell,Fell,1
7950.61,Rose,Fell,0
6882.531667,Rose,Rose,1
6935.48,Fell,Rose,0
6937.56,Fell,Rose,0
7035.848333,Fell,Rose,0
7410.435,Fell,Rose,0
7426.48,Fell,Fell,1
6826.51,Rose,Fell,0
6603.876667,Rose,Rose,1
6634.68,Fell,Rose,0
7017.656667,Fell,Fell,1
6699.273333,Rose,Rose,1
6784.41,Fell,Rose,0
6926.266667,Fell,Rose,0
7847.845,Fell,Rose,0
7941.46,Fell,Rose,0
8036.511051,Fell,Rose,0
8340.748333,Fell,Rose,0
8368.1,Fell,Fell,1
7895.416926,Rose,Rose,1
8164.937426,Fell,Rose,0
8175.96,Fell,Rose,0
8852.718333,Fell,Fell,1
8807.205,Rose,Rose,1
8930.6,Fell,Rose,0
8933.861667,Fell,Rose,0
9555.542,Fell,Rose,0
9658.11,Fell,Fell,1
9258.398333,Rose,Fell,0
9010.32,Rose,Fell,0
8928.55,Rose,Rose,1
9334.281667,Fell,Fell,1
9259.57,Rose,Fell,0
9239.55,Rose,Fell,0
9221.426,Rose,Rose,1
9639.268333,Fell,Rose,0
9753.35,Fell,Rose,0
9803.306667,Fell,Fell,1
9630.136277,Rose,Rose,1
9631.44,Fell,Fell,1
9228.608333,Rose,Rose,1
9322.041667,Fell,Fell,1
9310.37,Rose,Fell,0
8468.788,Rose,Rose,1
8484.346667,Fell,Fell,1
8463.52,Rose,Rose,1
8652.038333,Fell,Fell,1
8511.458,Rose,Fell,0
8471.06,Rose,Fell,0
8106.118333,Rose,Rose,1
8240.055,Fell,Fell,1
8239.08,Rose,Rose,1
8507.406667,Fell,Fell,1
8385.556187,Rose,Rose,1
8396.63,Fell,Fell,1
7555.74,Rose,Rose,1
7566.193333,Fell,Rose,0
7576.78,Fell,Fell,1
7342.908333,Rose,Rose,1
7361.831667,Fell,Fell,1
7344.56,Rose,Rose,1
7459.876667,Fell,Fell,1
7385.395,Rose,Rose,1
7386.72,Fell,Rose,0
7535.146667,Fell,Rose,0
7645.146667,Fell,Fell,1
7637.14,Rose,Fell,0
7500.273333,Rose,Rose,1
7615.722142,Fell,Rose,0
7619.43,Fell,Rose,0
7676.271667,Fell,Fell,1
7620.153333,Rose,Fell,0
7615.54,Rose,Fell,0
6776.888333,Rose,Rose,1
6875.678333,Fell,Rose,0
6879.31,Fell,Fell,1
6315.7,Rose,Rose,1
6647.013333,Fell,Fell,1
6637.41,Rose,Fell,0
6509.426667,Rose,Fell,0
6464.411667,Rose,Fell,0
6445.79,Rose,Rose,1
6737.0,Fell,Fell,1
6714.718333,Rose,Rose,1
6760.83,Fell,Fell,1
6332.573333,Rose,Fell,0
6141.605833,Rose,Rose,1
6170.46,Fell,Rose,0
6211.4475,Fell,Rose,0
6218.595,Fell,Fell,1
6097.46,Rose,Rose,1
6107.896154,Fell,Fell,1
5908.7025,Rose,Rose,1
6223.28,Fell,Rose,0
6374.754167,Fell,Rose,0
6466.069167,Fell,Rose,0
6626.44,Fell,Fell,1
6593.289167,Rose,Rose,1
6603.376667,Fell,Fell,1
6555.51,Rose,Rose,1
6594.281667,Fell,Rose,0
6753.559167,Fell,Fell,1
6724.04,Rose,Fell,0
6510.791667,Rose,Fell,0
6377.363333,Rose,Rose,1
6403.18,Fell,Fell,1
6244.3575,Rose,Fell,0
6241.0,Rose,Rose,1
6248.84,Fell,Rose,0
6514.390833,Fell,Rose,0
6869.910833,Fell,Rose,0
7321.62,Fell,Rose,0
7396.401667,Fell,Rose,0
7428.045,Fell,Fell,1
7334.99,Rose,Rose,1
7451.289167,Fell,Rose,0
7689.884167,Fell,Rose,0
7715.1,Fell,Rose,0
8251.165,Fell,Fell,1
8187.324167,Rose,Fell,0
7939.81,Rose,Rose,1
8182.251667,Fell,Rose,0
8206.341667,Fell,Rose,0
8220.91,Fell,Fell,1
7916.800833,Rose,Fell,0
7570.869167,Rose,Rose,1
7607.7,Fell,Fell,1
7394.499167,Rose,Fell,0
7247.769167,Rose,Fell,0
7011.28,Rose,Fell,0
6988.079167,Rose,Rose,1
6993.513333,Fell,Fell,1
6718.23,Rose,Fell,0
6396.7725,Rose,Fell,0
6396.494667,Rose,Fell,0
6138.96,Rose,Rose,1
6311.131667,Fell,Rose,0
6347.07,Fell,Fell,1
6252.13,Rose,Rose,1
6362.676923,Fell,Fell,1
6342.629231,Rose,Fell,0
6312.75,Rose,Rose,1
6436.720833,Fell,Fell,1
6404.063333,Rose,Rose,1
6486.58,Fell,Fell,1
6401.246154,Rose,Rose,1
6575.229167,Fell,Fell,1
6354.57,Rose,Rose,1
6543.645714,Fell,Rose,0
6719.429231,Fell,Rose,0
6738.27,Fell,Fell,1
6719.266154,Rose,Rose,1
7000.04,Fell,Rose,0
7078.19,Fell,Fell,1
6932.6625,Rose,Rose,1
6981.946154,Fell,Rose,0
7018.78,Fell,Rose,0
7247.935385,Fell,Rose,0
7260.949231,Fell,Rose,0
7265.08,Fell,Fell,1
7113.069231,Rose,Fell,0
6433.271667,Rose,Rose,1
6501.19,Fell,Fell,1
6366.1075,Rose,Fell,0
6286.425833,Rose,Fell,0
6240.98,Rose,Rose,1
6296.320833,Fell,Fell,1
6273.1375,Rose,Rose,1
6326.04,Fell,Rose,0
6499.0625,Fell,Rose,0
6518.655,Fell,Rose,0
6522.39,Fell,Fell,1
6400.600833,Rose,Fell,0
6296.631667,Rose,Rose,1
6342.39,Fell,Rose,0
6418.562667,Fell,Rose,0
6669.990833,Fell,Rose,0
6756.12,Fell,Fell,1
6710.445,Rose,Fell,0
6639.304167,Rose,Fell,0
6583.45,Rose,Fell,0
6468.631667,Rose,Rose,1
6535.476667,Fell,Rose,0
6686.08,Fell,Fell,1
6550.474167,Rose,Rose,1
6593.135,Fell,Rose,0
6611.02,Fell,Fell,1
6562.641667,Rose,Fell,0
6470.4025,Rose,Rose,1
6483.73,Fell,Rose,0
6568.549167,Fell,Rose,0
6581.486667,Fell,Fell,1
6573.62,Rose,Rose,1
6618.567692,Fell,Rose,0
6621.711667,Fell,Rose,0
6626.85,Fell,Fell,1
6248.635833,Rose,Rose,1
6260.530833,Fell,Fell,1
6247.0,Rose,Rose,1
6299.399167,Fell,Rose,0
6452.571667,Fell,Rose,0
6599.17,Fell,Fell,1
6596.276154,Rose,Fell,0
6568.040769,Rose,Fell,0
6509.61,Rose,Fell,0
6488.825833,Rose,Rose,1
6531.601667,Fell,Fell,1
6504.78,Rose,Fell,0
6481.426,Rose,Rose,1
6508.31,Fell,Fell,1
6489.77,Rose,Fell,0
6473.753333,Rose,Fell,0
6465.9175,Rose,Fell,0
6457.21,Rose,Fell,0
6382.668333,Rose,Fell,0
6309.452857,Rose,Fell,0
6301.61,Rose,Rose,1
6342.280833,Fell,Rose,0
6387.674167,Fell,Rose,0
6390.42,Fell,Rose,0
6391.873333,Fell,Rose,0
6436.965,Fell,Rose,0
6437.76,Fell,Rose,0
6538.79,Fell,Fell,1
6486.251667,Rose,Fell,0
6444.97,Rose,Fell,0
6399.033333,Rose,Fell,0
6378.268333,Rose,Rose,1
6408.53,Fell,Fell,1
6372.063333,Rose,Fell,0
6176.155,Rose,Fell,0
5756.77,Rose,Fell,0
5596.1925,Rose,Fell,0
5558.243333,Rose,Rose,1
5572.44,Fell,Fell,1
5303.9425,Rose,Fell,0
4671.97,Rose,Fell,0
4491.98,Rose,Rose,1
4548.7975,Fell,Fell,1
4309.3375,Rose,Rose,1
4352.98,Fell,Fell,1
3823.511667,Rose,Rose,1
3920.536667,Fell,Fell,1
3793.35,Rose,Rose,1
4103.453846,Fell,Rose,0
4263.783333,Fell,Rose,0
4278.77,Fell,Fell,1
4116.7775,Rose,Rose,1
4167.546667,Fell,Fell,1
4140.6,Rose,Fell,0
3961.493333,Rose,Fell,0
3858.349167,Rose,Fell,0
3744.98,Rose,Fell,0
3405.643333,Rose,Rose,1
3435.34,Fell,Rose,0
3453.66,Fell,Rose,0
3523.96,Fell,Fell,1
3426.19,Rose,Fell,0
3407.28,Rose,Fell,0
3406.7625,Rose,Fell,0
3278.374167,Rose,Fell,0
3242.42,Rose,Rose,1
3271.238333,Fell,Rose,0
3392.405,Fell,Rose,0
3556.54,Fell,Rose,0
3808.0425,Fell,Rose,0
3982.850833,Fell,Rose,0
4135.19,Fell,Fell,1
3910.973333,Rose,Rose,1
4027.478333,Fell,Fell,1
3995.17,Rose,Fell,0
3813.88,Rose,Rose,1
3825.379167,Fell,Rose,0
3848.21,Fell,Fell,1
3743.905,Rose,Rose,1
3912.285833,Fell,Fell,1
3770.36,Rose,Rose,1
3791.545833,Fell,Fell,1
3752.271667,Rose,Rose,1
3855.88,Fell,Rose,0
3865.7975,Fell,Fell,1
3822.626667,Rose,Rose,1
3856.62,Fell,Rose,0
3920.456667,Fell,Rose,0
4036.093333,Fell,Fell,1
4032.25,Rose,Rose,1
4034.138333,Fell,Fell,1
3812.585833,Rose,Fell,0
3646.25,Rose,Rose,1
3646.345833,Fell,Fell,1
3599.841667,Rose,Fell,0
3531.96,Rose,Rose,1
3656.785,Fell,Fell,1
3621.270833,Rose,Rose,1
3621.43,Fell,Rose,0
3632.395,Fell,Rose,0
3690.523333,Fell,Rose,0
3703.98,Fell,Fell,1
3548.4275,Rose,Fell,0
3540.02,Rose,Rose,1
3587.35,Fell,Fell,1
3566.4,Rose,Rose,1
3586.25,Fell,Fell,1
3577.79,Rose,Fell,0
3576.3,Rose,Fell,0
3554.5,Rose,Fell,0
3448.58,Rose,Fell,0
3421.6,Rose,Rose,1
3470.0,Fell,Fell,1
3444.81,Rose,Rose,1
3475.33,Fell,Rose,0
3506.22,Fell,Fell,1
3456.02,Rose,Fell,0
3452.35,Rose,Rose,1
3467.34,Fell,Fell,1
3405.7,Rose,Fell,0
3394.76,Rose,Rose,1
3661.08,Fell,Rose,0
3664.38,Fell,Rose,0
3686.29,Fell,Fell,1
3629.47,Rose,Rose,1
3632.42,Fell,Fell,1
3614.5,Rose,Fell,0
3600.31,Rose,Rose,1
3608.2,Fell,Rose,0
3619.55,Fell,Rose,0
3670.74,Fell,Rose,0
3910.8,Fell,Rose,0
3926.53,Fell,Rose,0
3987.18,Fell,Fell,1
3944.88,Rose,Rose,1
3983.48,Fell,Rose,0
4139.6,Fell,Fell,1
3766.89,Rose,Rose,1
3848.33,Fell,Fell,1
3831.45,Rose,Rose,1
3833.23,Fell,Rose,0
3850.08,Fell,Fell,1
3834.62,Rose,Fell,0
3831.44,Rose,Fell,0
3814.58,Rose,Fell,0
3730.98,Rose,Rose,1
3872.25,Fell,Rose,0
3876.85,Fell,Rose,0
3886.82,Fell,Fell,1
3875.96,Rose,Rose,1
3950.56,Fell,Fell,1
3928.17,Rose,Fell,0
3881.09,Rose,Rose,1
3892.51,Fell,Fell,1
3877.77,Rose,Rose,1
3885.21,Fell,Rose,0
3936.5,Fell,Rose,0
4015.95,Fell,Fell,1
3994.92,Rose,Rose,1
3998.77,Fell,Rose,0
4029.11,Fell,Rose,0
4056.4,Fell,Fell,1
3992.34,Rose,Rose,1
3999.06,Fell,Rose,0
4011.92,Fell,Fell,1
3994.11,Rose,Fell,0
3935.89,Rose,Rose,1
3947.74,Fell,Rose,0
4048.51,Fell,Fell,1
4037.37,Rose,Rose,1
4115.55,Fell,Fell,1
4114.44,Rose,Fell,0
4114.16,Rose,Rose,1
4152.53,Fell,Rose,0
4882.88,Fell,Rose,0
4959.81,Fell,Fell,1
4911.24,Rose,Rose,1
5028.77,Fell,Rose,0
5053.52,Fell,Rose,0
5189.39,Fell,Rose,0
5268.71,Fell,Fell,1
5175.81,Rose,Rose,1
5310.18,Fell,Fell,1
5035.02,Rose,Rose,1
5072.85,Fell,Fell,1
5064.62,Rose,Rose,1
5152.51,Fell,Fell,1
5036.18,Rose,Rose,1
5196.65,Fell,Rose,0
5220.37,Fell,Rose,0
5276.31,Fell,Rose,0
5277.04,Fell,Rose,0
5309.28,Fell,Fell,1
5281.83,Rose,Rose,1
5377.19,Fell,Rose,0
5518.16,Fell,Fell,1
5434.19,Rose,Fell,0
5195.61,Rose,Rose,1
5292.83,Fell,Fell,1
5280.19,Rose,Rose,1
5301.29,Fell,Fell,1
5260.65,Rose,Rose,1
5269.79,Fell,Rose,0
5326.67,Fell,Rose,0
5390.16,Fell,Rose,0
5657.14,Fell,Rose,0
5771.08,Fell,Fell,1
5717.66,Rose,Fell,0
5684.47,Rose,Rose,1
5755.72,Fell,Rose,0
5936.72,Fell,Rose,0
6146.91,Fell,Rose,0
6348.02,Fell,Rose,0
7248.31,Fell,Fell,1
6978.63,Rose,Rose,1
7823.11,Fell,Rose,0
7992.69,Fell,Rose,0
8206.9,Fell,Fell,1
7885.96,Rose,Fell,0
